accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
OQ148648	OQ148648.1	RGN2360/H834681	2016-09-04	South America	Brazil	Rio Grande do Norte		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
OQ148655	OQ148655.1	ROR8023/H808892	2014-12-29	South America	Brazil	Roraima		Homo sapiens	2023-12-29		Santos et al.	Santos,A.C.M.,Silva,S.P.,Cruz,A.C.R.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
OQ324891	OQ324891.1	IND/CHIK/E1/GMC/SEC/2018/3093	2019-11-XX	Asia	India			Homo sapiens	2023-10-01		Rajyalakshmi et al.	Rajyalakshmi,S.,Pakalapaty,S.,Rani,M.,Kammilli,N.	Gandhi Medical College, Department of Microbiology
OQ324893	OQ324893.1	IND/CHIK/E1/GMC/SEC/2018/3399	2019-11-XX	Asia	India			Homo sapiens	2023-10-01		Rajyalakshmi et al.	Rajyalakshmi,S.,Pakalapaty,S.,Rani,M.,Kammilli,N.	Gandhi Medical College, Department of Microbiology
OQ324894	OQ324894.1	IND/CHIK/E1/GMC/SEC/2018/3406	2019-11-XX	Asia	India			Homo sapiens	2023-10-01		Rajyalakshmi et al.	Rajyalakshmi,S.,Pakalapaty,S.,Rani,M.,Kammilli,N.	Gandhi Medical College, Department of Microbiology
OQ567727	OQ567727.1	ARBOPY_barcode94|PY|NB94|2022-07-28	2022-07-28	South America	Paraguay	Central Paraguay	Mariano Roque Alonso	Homo sapiens	2023-08-02		Vazquez et al.	Vazquez,C.,Giovanetti,M.,Fonseca,V.,Alcantara,L.C.J.,Filippis,A.M.B.	Pan American Health Organization (PAHO), PHE-Brazil
OQ759752	OQ759752.1	CHIKV|BA|FS0089|2015-07-20	2015-07-20	South America	Brazil	Feira de Santana	Bahia	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ759774	OQ759774.1	CHIKV|BC74|GO074|2021-12-27	2021-12-27	South America	Brazil	Luziania	Goias	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ759781	OQ759781.1	CHIKV|BC83|GO083|2022-01-19	2022-01-19	South America	Brazil	Goiania	Goias	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
OQ759790	OQ759790.1	CHIKV|BC91|GO091|2021-11-02	2021-11-02	South America	Brazil	Aparecida de Goiania	Goias	Homo sapiens	2023-06-30		Xavier et al.	Xavier,J.,Fonseca,V.,Oliveira,C.,Lima,M.,Fritsch,H.,Iani,F.,Adelino,T.,Guimaraes,N.,Castro,E.,Tosta,S.,Evaristo,M.,Sandoval,E.,Santos,E.V.,Alcantara,L.C.J.,Filippis,A.M.B.,Giovanetti,M.	Pan American Health Organization (PAHO), PHE-Brazil
