accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
MT666071	MT666071.1	CAM/2018/Yaounde	2018-09-17	Africa	Cameroon			Homo sapiens	2021-02-27		Agbodzi et al.	Agbodzi,B.,Berlange Sado Yousseu,F.,Brice Nemg Simo,F.,Kumordjie,S.,Yeboah,C.,Mosore,M.-T.,Bentil,R.E.,Prieto,K.,Attram,N.,Nimo-Paintstil,S.,Fox,A.T.,Bonney,J.H.K.,Ampofo,W.,Wolfe,D.M.,Wiley,M.,Demanou,M.,Letizia,A.G.	University of Nebraska Medical Center, College of Public Health
MT933030	MT933030.1	CHIKV-2 00504/2019	2019-01-28	South America	Brazil	Southeast-Rj State (Duque de Caxias City)		Homo sapiens	2020-12-02		Fabri et al.	Fabri,A.A.,Rodrigues,C.Dd.S.,Santos,C.Cd.,Chalhoub,F.L.L.,Sampaio,S.A.,Faria,N.Rd.C.,Torres,M.C.,Fonseca,V.,Brasil,P.,Calvet,G.,Alcantara,L.C.J.,Filippis,A.M.Bd.,Giovanetti,M.,de Bruycker-Nogueira,F.,de Filippis,A.M.B.	Oswaldo Cruz Institute, Flavivirus Laboratory
MT933040	MT933040.1	CHIKV-12 03804/2019	2019-05-06	South America	Brazil	Southeast-Rj State (Duque de Caxias City)		Homo sapiens	2020-12-02		Fabri et al.	Fabri,A.A.,Rodrigues,C.Dd.S.,Santos,C.Cd.,Chalhoub,F.L.L.,Sampaio,S.A.,Faria,N.Rd.C.,Torres,M.C.,Fonseca,V.,Brasil,P.,Calvet,G.,Alcantara,L.C.J.,Filippis,A.M.Bd.,Giovanetti,M.,de Bruycker-Nogueira,F.,de Filippis,A.M.B.	Oswaldo Cruz Institute, Flavivirus Laboratory
MT992067	MT992067.1	VH50_R_1604	2018-01-XX	Africa	Kenya			Culicidae	2021-03-17		Lutomiah et al.	Lutomiah,J.,Mulwa,F.,Mutisya,J.,Koskei,E.,Langat,S.,Nyunja,A.,Koka,H.,Konongoi,S.,Chepkorir,E.,Ofula,V.,Owaka,S.,Eyase,F.,Sang,R.	Kenya Medical Research Institute, Arbovirology/Viral Haemorrhagic Fevers Lab
MW161386	MW161386.1	CHIKV/Sudan154/2018	2018-10-XX	Africa	Sudan			Homo sapiens	2021-05-11		Bower et al.	Bower,H.,El Karsany,M.,Adam,A.A.A.H.,Idriss,M.I.,Alzain,M.A.,Alfakiyousif,M.E.A.,Mohamed,R.,Mahmoud,I.,Albadri,O.,Mahmoud,S.A.A.,Abdalla,O.I.,Eldigail,M.,Elagib,N.,Arnold,U.,Gutierrez,B.,Pybus,O.G.,Carter,D.P.,Pullan,S.T.,Jacob,S.T.,Abdallah,T.M.,Gannon,B.,Fletcher,T.E.,Gannon,B.W.,Mubarek,E.K.	Public Health England, UK-Public Health Rapid Support Team
MW161405	MW161405.1	CHIKV/Sudan305/2018	2018-10-XX	Africa	Sudan			Homo sapiens	2021-05-11		Bower et al.	Bower,H.,El Karsany,M.,Adam,A.A.A.H.,Idriss,M.I.,Alzain,M.A.,Alfakiyousif,M.E.A.,Mohamed,R.,Mahmoud,I.,Albadri,O.,Mahmoud,S.A.A.,Abdalla,O.I.,Eldigail,M.,Elagib,N.,Arnold,U.,Gutierrez,B.,Pybus,O.G.,Carter,D.P.,Pullan,S.T.,Jacob,S.T.,Abdallah,T.M.,Gannon,B.,Fletcher,T.E.,Gannon,B.W.,Mubarek,E.K.	Public Health England, UK-Public Health Rapid Support Team
MW588418	MW588418.1	MY/2017/0040	2017-06-13	Asia	Malaysia			Homo sapiens	2024-02-01		Azman et al.	Azman,I.K.,Chan,Y.F.,Chua,C.L.,Abd Mutalib,Z.A.,Dass,S.C.,Gill,B.S.,Ismail,N.H.,Jelip,J.,Wan,M.K.,Lee,W.C.,Vythilingam,I.,Alphey,L.,Sam,I.C.	University Malaya, Department of Medical Microbiology, Faculty of Medicine
MW591593	MW591593.1	40_PAKISTAN_2017	2017-07-06	Asia	Pakistan			Homo sapiens	2022-06-14		Badar et al.	Badar,N.,Ikram,A.,Mushtaq,N.,Arshad,Y.,Alam,M.,Salman,M.,Qazi,J.	National Institute of Health, Virology PHLD
MW979328	MW979328.1	Sta Ines 543	2017-04-27	South America	Brazil			Homo sapiens	2021-09-22		de Melo et al.	de Melo,B.O.,Junior,A.D.S.,Costa,A.K.S.,da Silva,L.C.N.,Turri,Rd.J.G.,Zagmignan,A.,Bomfim,M.R.Q.	Universidade Do Ceuma, Biologia Microbiana
MW979333	MW979333.1	Sao Luis 117	2016-07-22	South America	Brazil			Homo sapiens	2021-09-22		de Melo et al.	de Melo,B.O.,Junior,A.D.S.,Costa,A.K.S.,da Silva,L.C.N.,Turri,Rd.J.G.,Zagmignan,A.,Bomfim,M.R.Q.	Universidade Do Ceuma, Biologia Microbiana
